iter	Passed	Remaining
0	102	306159
1	191	287786
2	293	293475
3	371	278568
4	462	277123
5	543	271247
6	625	267272
7	704	263415
8	789	262529
9	848	253758
10	910	247343
11	1008	251215
12	1099	252704
13	1183	252474
14	1274	253577
15	1360	253666
16	1447	253912
17	1533	253971
18	1625	254984
19	1716	255742
20	1802	255658
21	1876	254017
22	1971	255138
23	2064	255944
24	2155	256546
25	2251	257526
26	2349	258702
27	2432	258142
28	2521	258355
29	2607	258124
30	2687	257425
31	2757	255766
32	2817	253360
33	2901	253125
34	2986	252997
35	3071	252888
36	3150	252277
37	3233	252060
38	3321	252190
39	3404	251913
40	3489	251855
41	3577	251936
42	3663	251915
43	3724	250248
44	3771	247678
45	3847	247095
46	3934	247195
47	4003	246224
48	4085	246041
49	4164	245689
50	4244	245452
51	4320	244949
52	4399	244635
53	4467	243711
54	4544	243342
55	4621	242933
56	4700	242686
57	4776	242266
58	4855	242016
59	4946	242367
60	4994	240631
61	5070	240276
62	5152	240221
63	5212	239119
64	5288	238813
65	5380	239188
66	5466	239323
67	5529	238428
68	5614	238504
69	5695	238414
70	5784	238615
71	5864	238477
72	5960	238972
73	6030	238459
74	6114	238475
75	6198	238464
76	6282	238482
77	6355	238098
78	6427	237651
79	6504	237422
80	6587	237383
81	6647	236541
82	6727	236443
83	6813	236508
84	6886	236179
85	6971	236230
86	7050	236062
87	7122	235704
88	7206	235707
89	7263	234854
90	7339	234606
91	7400	233929
92	7479	233786
93	7560	233730
94	7640	233653
95	7727	233769
96	7800	233447
97	7864	232888
98	7948	232900
99	8039	233155
100	8118	233021
101	8188	232661
102	8254	232180
103	8340	232264
104	8422	232227
105	8505	232226
106	8590	232272
107	8666	232060
108	8744	231930
109	8826	231891
110	8896	231541
111	8981	231593
112	9064	231596
113	9154	231756
114	9239	231779
115	9324	231831
116	9407	231819
117	9495	231912
118	9583	232013
119	9666	231997
120	9758	232193
121	9830	231894
122	9907	231739
123	9984	231573
124	10056	231299
125	10134	231168
126	10208	230926
127	10292	230927
128	10386	231150
129	10476	231278
130	10568	231467
131	10669	231820
132	10748	231690
133	10831	231662
134	10899	231313
135	11003	231726
136	11090	231759
137	11173	231726
138	11247	231498
139	11333	231533
140	11418	231533
141	11497	231417
142	11574	231253
143	11664	231354
144	11725	230876
145	11802	230717
146	11874	230456
147	11959	230461
148	12037	230320
149	12086	229637
150	12170	229620
151	12233	229208
152	12323	229316
153	12410	229361
154	12504	229515
155	12600	229722
156	12692	229831
157	12778	229843
158	12838	229403
159	12931	229540
160	13018	229559
161	13105	229591
162	13183	229459
163	13273	229527
164	13353	229437
165	13435	229376
166	13507	229138
167	13579	228904
168	13666	228928
169	13753	228962
170	13827	228755
171	13911	228736
172	13981	228472
173	14067	228480
174	14165	228678
175	14245	228570
176	14331	228581
177	14426	228716
178	14514	228749
179	14602	228772
180	14685	228720
181	14774	228761
182	14859	228741
183	14944	228714
184	15031	228725
185	15111	228629
186	15190	228507
187	15261	228272
188	15343	228204
189	15432	228240
190	15513	228151
191	15567	227679
192	15638	227450
193	15721	227393
194	15800	227284
195	15877	227144
196	15941	226823
197	16026	226800
198	16112	226783
199	16197	226771
200	16274	226628
201	16329	226184
202	16419	226230
203	16507	226254
204	16592	226226
205	16652	225864
206	16710	225473
207	16787	225337
208	16868	225264
209	16959	225318
210	17039	225233
211	17119	225136
212	17208	225165
213	17293	225141
214	17382	225162
215	17458	225020
216	17546	225028
217	17623	224895
218	17701	224789
219	17773	224592
220	17855	224526
221	17952	224646
222	18031	224538
223	18107	224399
224	18190	224351
225	18254	224058
226	18338	224015
227	18431	224088
228	18509	223974
229	18592	223913
230	18676	223880
231	18760	223837
232	18819	223496
233	18897	223374
234	18975	223270
235	19020	222764
236	19068	222300
237	19148	222217
238	19215	221980
239	19304	222003
240	19379	221854
241	19470	221901
242	19540	221703
243	19603	221425
244	19693	221452
245	19751	221116
246	19837	221100
247	19925	221112
248	20002	220993
249	20095	221047
250	20186	221081
251	20275	221098
252	20362	221094
253	20427	220836
254	20497	220651
255	20574	220536
256	20657	220480
257	20732	220344
258	20817	220309
259	20899	220245
260	20943	219791
261	21033	219810
262	21118	219775
263	21207	219789
264	21287	219705
265	21365	219602
266	21444	219500
267	21530	219479
268	21619	219493
269	21686	219277
270	21757	219098
271	21843	219073
272	21937	219137
273	22030	219179
274	22091	218902
275	22186	218970
276	22283	219054
277	22366	218994
278	22473	219181
279	22570	219255
280	22660	219270
281	22752	219299
282	22828	219170
283	22931	219305
284	23015	219257
285	23100	219211
286	23183	219151
287	23263	219062
288	23345	218994
289	23439	219039
290	23524	218998
291	23622	219071
292	23711	219070
293	23795	219012
294	23862	218805
295	23943	218730
296	24019	218604
297	24115	218653
298	24195	218570
299	24275	218477
300	24350	218344
301	24432	218276
302	24506	218128
303	24578	217973
304	24655	217855
305	24749	217889
306	24838	217883
307	24921	217817
308	25006	217779
309	25093	217747
310	25184	217757
311	25272	217732
312	25361	217718
313	25445	217661
314	25522	217549
315	25562	217122
316	25642	217028
317	25708	216823
318	25795	216796
319	25875	216706
320	25956	216627
321	26016	216377
322	26081	216164
323	26160	216066
324	26234	215929
325	26314	215844
326	26400	215804
327	26481	215731
328	26571	215725
329	26647	215603
330	26733	215565
331	26814	215488
332	26891	215375
333	26975	215323
334	27047	215169
335	27135	215147
336	27220	215100
337	27313	215114
338	27406	215125
339	27482	215007
340	27541	214756
341	27592	214450
342	27666	214312
343	27743	214204
344	27811	214027
345	27875	213816
346	27939	213613
347	27991	213314
348	28053	213090
349	28120	212909
350	28204	212858
351	28253	212543
352	28330	212438
353	28407	212335
354	28489	212265
355	28563	212143
356	28637	212014
357	28692	211747
358	28774	211681
359	28853	211592
360	28934	211515
361	29023	211501
362	29111	211479
363	29200	211459
364	29287	211431
365	29371	211375
366	29449	211282
367	29517	211117
368	29573	210859
369	29652	210772
370	29733	210698
371	29805	210559
372	29886	210484
373	29958	210352
374	30039	210274
375	30126	210243
376	30206	210165
377	30293	210128
378	30384	210124
379	30474	210115
