iter	RMSE
0	121.2214882
1	120.6438139
2	120.0691574
3	119.4975899
4	118.928823
5	118.3630373
6	117.800321
7	117.2404329
8	116.6835382
9	116.129509
10	115.5783334
11	115.030202
12	114.4849759
13	113.942662
14	113.4031661
15	112.8665099
16	112.3325407
17	111.8014858
18	111.2732262
19	110.7477191
20	110.2250041
21	109.7050262
22	109.1877802
23	108.6733039
24	108.1616591
25	107.6525192
26	107.1461944
27	106.6425019
28	106.1414278
29	105.643191
30	105.1475908
31	104.6545584
32	104.1640733
33	103.6763272
34	103.1910623
35	102.7083198
36	102.2283155
37	101.7507515
38	101.2757789
39	100.8032918
40	100.3333724
41	99.86595861
42	99.40104082
43	98.93857611
44	98.47856564
45	98.02101486
46	97.56601969
47	97.11346254
48	96.66320995
49	96.21534477
50	95.76992656
51	95.32694263
52	94.88630973
53	94.44802672
54	94.01220578
55	93.57861787
56	93.14741991
57	92.71850539
58	92.29193902
59	91.86762344
60	91.44550486
61	91.02582039
62	90.60836287
63	90.19317854
64	89.7802671
65	89.36959795
66	88.96110055
67	88.55492626
68	88.1509532
69	87.74902101
70	87.3493841
71	86.95192162
72	86.55658175
73	86.16340111
74	85.77232725
75	85.38338474
76	84.99661063
77	84.61198603
78	84.22945801
79	83.8490571
80	83.47074497
81	83.09453019
82	82.72033244
83	82.34823035
84	81.97807693
85	81.60994875
86	81.24391885
87	80.87990468
88	80.51785109
89	80.15782386
90	79.79975362
91	79.44372011
92	79.08960565
93	78.73743579
94	78.38729
95	78.03904122
96	77.69274187
97	77.34833117
98	77.00590709
99	76.66538813
100	76.3268081
101	75.99007847
102	75.65519745
103	75.32222215
104	74.99109022
105	74.66180125
106	74.33435689
107	74.00872736
108	73.68502268
109	73.36310872
110	73.0429986
111	72.72464641
112	72.40810102
113	72.09334729
114	71.7803707
115	71.46915487
116	71.15970874
117	70.85205409
118	70.54612209
119	70.24191374
120	69.93943029
121	69.63870758
122	69.33969437
123	69.04239073
124	68.74673488
125	68.45275877
126	68.16050158
127	67.86997813
128	67.58110448
129	67.29384116
130	67.0082562
131	66.72432832
132	66.44196144
133	66.16128396
134	65.88220292
135	65.60474337
136	65.32890923
137	65.05465376
138	64.78200641
139	64.51097688
140	64.24148063
141	63.9735621
142	63.70718618
143	63.44239935
144	63.17910759
145	62.91739136
146	62.65720306
147	62.39855858
148	62.1413805
149	61.88566029
150	61.63153515
151	61.37889462
152	61.12773744
153	60.87811966
154	60.62991507
155	60.38320736
156	60.13794538
157	59.89415731
158	59.65181667
159	59.41094036
160	59.17147215
161	58.93342968
162	58.69681843
163	58.46155116
164	58.2277457
165	57.99539642
166	57.76441283
167	57.53482657
168	57.30659264
169	57.07975682
170	56.8542874
171	56.63014519
172	56.40738688
173	56.18596209
174	55.96589495
175	55.74714317
176	55.52978824
177	55.31369659
178	55.09896258
179	54.88557073
180	54.67344866
181	54.46264656
182	54.25315673
183	54.04491426
184	53.83792643
185	53.63225443
186	53.42780192
187	53.22463875
188	53.02276794
189	52.82217356
190	52.62278511
191	52.4246514
192	52.22773014
193	52.03205085
194	51.83759426
195	51.64432428
196	51.45230414
197	51.26146522
198	51.07185549
199	50.8834079
200	50.69615401
201	50.51011046
202	50.32522699
203	50.1415134
204	49.95899068
205	49.77761225
206	49.59735549
207	49.41827289
208	49.24036675
209	49.06355163
210	48.88790794
211	48.71337273
212	48.53996369
213	48.36768211
214	48.19648786
215	48.02642761
216	47.85743776
217	47.6895693
218	47.52279227
219	47.35709985
220	47.19248603
221	47.02895028
222	46.86646205
223	46.70505213
224	46.54468466
225	46.38540694
226	46.22715839
227	46.06993742
228	45.91377629
229	45.75865619
230	45.60454429
231	45.45143019
232	45.29935531
233	45.14827961
234	44.99820701
235	44.84911026
236	44.70100723
237	44.55394632
238	44.40788449
239	44.26280387
240	44.11867097
241	43.97550589
242	43.83331389
243	43.69208393
244	43.55181747
245	43.41250209
246	43.27415415
247	43.13673187
248	43.00023985
249	42.86468839
250	42.73005694
251	42.59633772
252	42.46354517
253	42.33167857
254	42.20071126
255	42.07066025
256	41.94148941
257	41.81320667
258	41.68583202
259	41.55933239
260	41.43369084
261	41.30894599
262	41.18509725
263	41.0621168
264	40.9399708
265	40.81868861
266	40.69826952
267	40.57870095
268	40.45995907
269	40.34206555
270	40.22502129
271	40.10880479
272	39.99342897
273	39.87885833
274	39.76511023
275	39.65216009
276	39.5400284
277	39.42868229
278	39.31815842
279	39.20842693
280	39.099484
281	38.99132515
282	38.88395298
283	38.77735342
284	38.67152603
285	38.56645426
286	38.46216439
287	38.35862706
288	38.25584465
289	38.15381989
290	38.05253393
291	37.9519959
292	37.8521954
293	37.75313604
294	37.65479448
295	37.55718998
296	37.46030762
297	37.36413409
298	37.26870217
299	37.17396855
300	37.07992921
301	36.98659427
302	36.89395793
303	36.80202077
304	36.71077159
305	36.62020745
306	36.5303289
307	36.44110498
308	36.3525703
309	36.26471502
310	36.17752109
311	36.09099308
312	36.00511558
313	35.91989275
314	35.83531419
315	35.75138801
316	35.66812162
317	35.58547088
318	35.50346244
319	35.4220803
320	35.34133205
321	35.26120902
322	35.18169997
323	35.1028161
324	35.02454256
325	34.94687012
326	34.86980833
327	34.79335008
328	34.71748632
329	34.64221393
330	34.56752912
331	34.49342324
332	34.41990368
333	34.3469636
334	34.27459366
335	34.20279134
336	34.13156861
337	34.06089376
338	33.99077981
339	33.92122551
340	33.85221782
341	33.78376463
342	33.7158587
343	33.64849169
344	33.58166781
345	33.51537647
346	33.44961384
347	33.38437344
348	33.31966694
349	33.25548285
350	33.19181352
351	33.12864936
352	33.0660091
353	33.00386871
354	32.94224071
355	32.88110551
356	32.82047258
357	32.7603374
358	32.70068962
359	32.64152449
360	32.58284946
361	32.52465143
362	32.46693137
363	32.40968241
364	32.35290279
365	32.29659953
366	32.24075509
367	32.18537544
368	32.13044842
369	32.07597878
370	32.02196396
371	31.96838668
372	31.91526666
373	31.862585
374	31.81033759
