iter	Passed	Remaining
0	90	272529
1	179	268974
2	246	246073
3	310	232609
4	392	235389
5	470	234855
6	548	234434
7	607	227200
8	689	229097
9	768	229667
10	841	228670
11	905	225356
12	988	227118
13	1080	230429
14	1166	232106
15	1255	234183
16	1335	234387
17	1418	234958
18	1501	235514
19	1572	234248
20	1654	234703
21	1724	233496
22	1795	232385
23	1878	232930
24	1949	232037
25	2033	232608
26	2117	233119
27	2198	233342
28	2287	234362
29	2363	234025
30	2444	234083
31	2532	234845
32	2614	235068
33	2704	235903
34	2784	235898
35	2866	235989
36	2944	235793
37	3035	236642
38	3116	236614
39	3206	237252
40	3289	237372
41	3374	237687
42	3453	237459
43	3521	236584
44	3591	235825
45	3663	235263
46	3739	234920
47	3805	234035
48	3889	234268
49	3966	234019
50	4052	234356
51	4161	235913
52	4242	235877
53	4328	236154
54	4398	235527
55	4457	234330
56	4536	234213
57	4612	233941
58	4690	233798
59	4773	233907
60	4834	232911
61	4934	233823
62	5021	234115
63	5115	234693
64	5225	235938
65	5313	236215
66	5402	236482
67	5490	236732
68	5583	237176
69	5686	238027
70	5773	238164
71	5859	238283
72	5936	238014
73	6005	237448
74	6096	237764
75	6176	237626
76	6276	238265
77	6369	238592
78	6463	238991
79	6538	238637
80	6631	238964
81	6720	239157
82	6809	239331
83	6899	239510
84	6993	239839
85	7087	240137
86	7177	240330
87	7268	240511
88	7351	240455
89	7418	239875
90	7491	239485
91	7568	239234
92	7652	239204
93	7729	238971
94	7801	238567
95	7884	238506
96	7962	238293
97	8037	238013
98	8122	238014
99	8210	238090
100	8296	238142
101	8359	237494
102	8440	237401
103	8523	237333
104	8599	237092
105	8684	237107
106	8774	237242
107	8852	237058
108	8937	237044
109	9018	236930
110	9110	237131
111	9190	236996
112	9277	237035
113	9360	236965
114	9448	237023
115	9515	236582
116	9596	236461
117	9681	236456
118	9760	236296
119	9829	235916
120	9908	235756
121	9995	235791
122	10075	235660
123	10153	235496
124	10218	235032
125	10297	234883
126	10376	234737
127	10483	235225
128	10566	235156
129	10651	235152
130	10752	235479
131	10841	235557
132	10927	235567
133	11008	235456
134	11098	235537
135	11184	235527
136	11288	235915
137	11375	235924
138	11459	235866
139	11558	236117
140	11637	235969
141	11727	236033
142	11803	235819
143	11867	235364
144	11928	234865
145	12009	234760
146	12092	234694
147	12177	234667
148	12268	234748
149	12312	233936
