iter	RMSE
0	121.2610141
1	120.6832226
2	120.1084431
3	119.5367594
4	118.9678756
5	118.4019765
6	117.8391437
7	117.279144
8	116.7221375
9	116.1679988
10	115.6167138
11	115.0684753
12	114.5231431
13	113.9807224
14	113.4411204
15	112.9043581
16	112.3702849
17	111.8391277
18	111.310772
19	110.7851655
20	110.2623494
21	109.7422737
22	109.2249284
23	108.7103542
24	108.1986101
25	107.6893747
26	107.1829536
27	106.679166
28	106.1779988
29	105.6796696
30	105.1839742
31	104.6908506
32	104.2002776
33	103.7124398
34	103.2270859
35	102.7442587
36	102.2641456
37	101.7864972
38	101.3114414
39	100.838868
40	100.3688656
41	99.90136939
42	99.43636859
43	98.97382451
44	98.51373582
45	98.05610629
46	97.60103481
47	97.14840123
48	96.6980724
49	96.25013238
50	95.80463932
51	95.36157929
52	94.92087118
53	94.48251701
54	94.04662567
55	93.61296462
56	93.18169556
57	92.75271178
58	92.32607554
59	91.90169424
60	91.47950845
61	91.05975799
62	90.64223523
63	90.22698657
64	89.8140122
65	89.40327678
66	88.99471643
67	88.58848037
68	88.18444402
69	87.78245256
70	87.3827566
71	86.9852357
72	86.58983928
73	86.19660272
74	85.80547218
75	85.41648787
76	85.02965768
77	84.64498184
78	84.26239781
79	83.88194202
80	83.5035782
81	83.12731205
82	82.7530645
83	82.38091598
84	82.01071271
85	81.64253476
86	81.27645774
87	80.91239922
88	80.55029711
89	80.19022164
90	79.83210877
91	79.47602997
92	79.12187271
93	78.76965998
94	78.4194721
95	78.07118188
96	77.72484033
97	77.38039075
98	77.03792032
99	76.69736284
100	76.35874323
101	76.02197451
102	75.68705644
103	75.35404632
104	75.02287936
105	74.6935544
106	74.36607681
107	74.04041489
108	73.71667574
109	73.39472664
110	73.07458505
111	72.7562022
112	72.439624
113	72.12483999
114	71.81183323
115	71.50059072
116	71.19111905
117	70.88343492
118	70.57747758
119	70.27324379
120	69.97073591
121	69.66998933
122	69.37095283
123	69.07362638
124	68.77795092
125	68.48395599
126	68.19167903
127	67.90113496
128	67.61223915
129	67.32495663
130	67.03935655
131	66.75541136
132	66.47302598
133	66.19232807
134	65.91323009
135	65.63575375
136	65.35990532
137	65.08563522
138	64.81297448
139	64.54192843
140	64.27242112
141	64.004489
142	63.73810089
143	63.47330525
144	63.21000072
145	62.94827286
146	62.68807797
147	62.42942572
148	62.17223866
149	61.91650984
150	61.66240907
151	61.40975982
152	61.15859488
153	60.9089709
154	60.66075887
155	60.41404628
156	60.16877943
157	59.92498902
158	59.6826449
159	59.44176389
160	59.20229912
161	58.96425596
162	58.7276449
163	58.4923807
164	58.25857195
165	58.02621976
166	57.79523467
167	57.56564917
168	57.33741609
169	57.11058343
170	56.88512047
171	56.66098412
172	56.43823002
173	56.21681053
174	55.99674705
175	55.77800373
176	55.56065488
177	55.34456946
178	55.12984142
179	54.91645586
180	54.70434153
181	54.49356526
182	54.28407979
183	54.07584164
184	53.86885973
185	53.66319656
186	53.45875087
187	53.25559425
188	53.05373692
189	52.85315462
190	52.65377765
191	52.45565547
192	52.25874388
193	52.06307536
194	51.86863561
195	51.67537629
196	51.48336925
197	51.29254901
198	51.10295172
199	50.9145192
200	50.7272787
201	50.54124619
202	50.35637736
203	50.17267849
204	49.99016894
205	49.80880798
206	49.62856804
207	49.44950194
208	49.27161538
209	49.09482157
210	48.91919776
211	48.74467896
212	48.57128862
213	48.39902517
214	48.22784886
215	48.05780425
216	47.88883687
217	47.72099122
218	47.55424084
219	47.38856375
220	47.22397302
221	47.06045765
222	46.89799225
223	46.73660656
224	46.57626077
225	46.41700449
226	46.25877859
227	46.10158455
228	45.94544203
229	45.7903474
230	45.63626252
231	45.48317467
232	45.33112699
233	45.18008274
234	45.03003639
235	44.8809651
236	44.7328882
237	44.58584858
238	44.43981445
239	44.29476286
240	44.15065941
241	44.00752541
242	43.86536283
243	43.72415722
244	43.5839193
245	43.44463613
246	43.30632127
247	43.16892751
248	43.03246382
249	42.89694321
250	42.76234277
251	42.62865344
252	42.49589374
253	42.3640588
254	42.23311633
255	42.10309272
256	41.97395547
257	41.84570244
258	41.71835883
259	41.59188958
260	41.46627936
261	41.34156762
262	41.21775213
263	41.09480916
264	40.9726907
265	40.85143946
266	40.73104988
267	40.61151313
268	40.49280226
269	40.37493935
270	40.25793043
271	40.14174693
272	40.02639204
273	39.91185688
274	39.79814068
