iter	RMSE
0	121.2728468
1	120.6948984
2	120.1199669
3	119.5481299
4	118.9790922
5	118.4130378
6	117.8500524
7	117.289897
8	116.7327362
9	116.1784452
10	115.6270069
11	115.0786147
12	114.5331283
13	113.9905566
14	113.4508015
15	112.9138865
16	112.3796637
17	111.8483543
18	111.3198487
19	110.7940905
20	110.2711246
21	109.7508982
22	109.2334037
23	108.7186812
24	108.2067907
25	107.6974058
26	107.1908389
27	106.686904
28	106.1855894
29	105.6871117
30	105.1912696
31	104.6979988
32	104.2072787
33	103.719295
34	103.2337944
35	102.750819
36	102.2705808
37	101.792786
38	101.3175849
39	100.8448672
40	100.3747194
41	99.90707898
42	99.44193212
43	98.97924938
44	98.51901591
45	98.06124053
46	97.60602286
47	97.1532475
48	96.70277552
49	96.25469106
50	95.80905435
51	95.36585209
52	94.92500313
53	94.48650737
54	94.05047392
55	93.61667267
56	93.18526202
57	92.75613675
58	92.32935636
59	91.90483161
60	91.482505
61	91.06261238
62	90.6449494
63	90.22956061
64	89.81644284
65	89.40556901
66	88.99687069
67	88.59049312
68	88.18631634
69	87.78418624
70	87.38435081
71	86.9866895
72	86.59115495
73	86.19777853
74	85.8065088
75	85.41738146
76	85.03041101
77	84.64559648
78	84.2628746
79	83.88228014
80	83.5037767
81	83.12736999
82	82.75298508
83	82.38069517
84	82.01035354
85	81.64203962
86	81.27582588
87	80.91162897
88	80.54939093
89	80.18918031
90	79.83092996
91	79.4747154
92	79.120421
93	78.76807272
94	78.41774758
95	78.06932072
96	77.72284321
97	77.37825849
98	77.03565451
99	76.69495797
100	76.3562034
101	76.01929952
102	75.68424493
103	75.35109874
104	75.01980452
105	74.69034484
106	74.3627332
107	74.0369357
108	73.71306679
109	73.39098054
110	73.0707061
111	72.75218834
112	72.43547805
113	72.12055963
114	71.80742143
115	71.49604324
116	71.18643592
117	70.87861611
118	70.57252659
119	70.26815851
120	69.96551636
121	69.66463703
122	69.36546592
123	69.06800683
124	68.77219725
125	68.47806681
126	68.18565736
127	67.89498235
128	67.60595381
129	67.31853583
130	67.03280027
131	66.74872188
132	66.46620288
133	66.18537619
134	65.90614307
135	65.62853499
136	65.35255307
137	65.07815197
138	64.80535892
139	64.53418043
140	64.26453819
141	63.99647441
142	63.72995619
143	63.46502766
144	63.2015936
145	62.93973295
146	62.67940308
147	62.42061921
148	62.16330113
149	61.90744125
150	61.65317839
151	61.40039538
152	61.14909895
153	60.89934083
154	60.65099768
155	60.404134
156	60.15873789
157	59.91481576
158	59.67234085
159	59.43132535
160	59.19173112
161	58.9535537
162	58.71681224
163	58.48142356
164	58.24748697
165	58.01500627
166	57.78389169
167	57.5541806
168	57.32581887
169	57.09885661
170	56.87326164
171	56.64899363
172	56.42610899
173	56.20455661
174	55.98436217
175	55.76548891
176	55.54800705
177	55.33179104
178	55.11693252
179	54.90341644
180	54.69117246
181	54.48026674
182	54.27065127
183	54.06228904
184	53.85518259
185	53.6493897
186	53.44481854
187	53.24153326
188	53.03954372
189	52.83883017
190	52.63932525
191	52.44107409
192	52.24403849
193	52.0482417
194	51.8536727
195	51.66028545
196	51.46815089
197	51.2772018
198	51.08747908
199	50.89892177
200	50.71155504
201	50.52539837
202	50.34040433
203	50.15657885
204	49.97394704
205	49.79246278
206	49.61209782
207	49.43290514
208	49.25489669
209	49.0779783
210	48.90223111
211	48.72761139
212	48.55409537
213	48.3817069
214	48.21040782
215	48.0402436
216	47.87114867
217	47.70317506
218	47.5362989
219	47.37050332
220	47.20578731
221	47.0421504
222	46.87956131
223	46.71805424
224	46.55758562
225	46.39820663
226	46.23985848
227	46.08254312
228	45.92628408
229	45.77106751
230	45.61686265
231	45.46365349
232	45.31147676
233	45.16030587
234	45.01013913
235	44.86094719
236	44.71274956
237	44.56559041
238	44.41943417
239	44.27425605
240	44.13002941
241	43.98677406
242	43.84448934
243	43.70316519
244	43.56280668
245	43.42340629
246	43.28497137
247	43.14745796
248	43.01087684
249	42.87523984
250	42.74052113
251	42.60671516
252	42.47383258
253	42.34188111
254	42.2108259
255	42.08068178
256	41.95143264
257	41.82306419
258	41.69559957
259	41.56900867
260	41.44328287
261	41.31845597
262	41.19452017
263	41.07145772
264	40.94922951
265	40.82786534
266	40.70736419
267	40.58771541
268	40.46889284
269	40.35091821
270	40.23379814
271	40.11750336
272	40.00204249
273	39.88739623
274	39.77357006
275	39.66054007
276	39.54833454
277	39.43691015
278	39.32630525
279	39.21649795
280	39.10747738
281	38.99924066
282	38.89179116
283	38.78511594
284	38.67921705
