iter	Passed	Remaining
0	127	638005
1	275	687689
2	409	682006
3	557	695748
4	676	675727
5	809	673772
6	927	661571
7	1046	652879
8	1163	645323
9	1294	645869
10	1405	637389
11	1524	633483
12	1637	628221
13	1757	625840
14	1860	618197
15	1974	615203
16	2096	614538
17	2219	614179
18	2342	614064
19	2469	614955
20	2604	617487
21	2717	614914
22	2859	618804
23	2989	619816
24	3085	614001
25	3218	615762
26	3356	618131
27	3458	614174
28	3601	617375
29	3731	618249
30	3855	617981
31	3978	617620
32	4110	618666
33	4229	617737
34	4328	614082
35	4407	607766
36	4518	606133
37	4639	605884
38	4772	607116
39	4936	612176
40	5067	612902
41	5122	604719
42	5254	605743
43	5381	606115
44	5495	605098
45	5643	607783
46	5754	606391
47	5890	607664
48	6006	606905
49	6135	607460
50	6274	608910
51	6397	608768
52	6512	607832
53	6645	608695
54	6784	609944
55	6873	606792
56	7006	607614
57	7151	609343
58	7315	612643
59	7442	612742
60	7591	614631
61	7723	615162
62	7829	613524
63	7966	614400
64	8098	614888
65	8241	616120
66	8378	616904
67	8440	612162
68	8556	611514
69	8706	613166
70	8834	613306
71	8955	612928
72	9094	613849
73	9199	612384
74	9253	607632
75	9334	604796
76	9440	603570
77	9571	603976
78	9718	605364
79	9870	607017
80	10002	607435
81	10138	608073
82	10294	609847
83	10440	611016
84	10518	608245
85	10650	608558
86	10788	609215
87	10924	609762
88	11039	609134
89	11146	608117
90	11264	607642
91	11383	607308
92	11519	607783
93	11653	608218
94	11794	608950
95	11929	609398
96	12063	609775
97	12193	609932
98	12344	611116
99	12455	610331
100	12572	609816
101	12705	610120
102	12827	609886
103	12955	609911
104	13087	610126
105	13222	610485
106	13340	610028
107	13448	609187
108	13571	608965
109	13675	607936
110	13787	607252
111	13925	607769
112	14035	606983
113	14155	606717
114	14267	606046
115	14391	605930
116	14515	605824
117	14642	605823
118	14770	605854
119	14874	604905
120	14965	603447
121	15100	603771
122	15235	604083
123	15362	604077
124	15490	604110
125	15614	604002
126	15748	604284
127	15880	604467
128	16013	604681
129	16132	604336
130	16259	604348
131	16384	604246
132	16506	604043
133	16617	603421
134	16724	602700
135	16841	602319
136	16965	602218
137	17098	602407
138	17208	601794
139	17283	599983
140	17402	599723
141	17514	599208
142	17635	598990
143	17759	598895
144	17890	599031
145	18005	598631
146	18117	598122
147	18255	598486
148	18391	598786
149	18516	598695
150	18640	598581
151	18763	598471
152	18881	598155
153	19020	598543
154	19181	599585
155	19296	599170
156	19429	599353
157	19539	598790
158	19670	598903
159	19808	599220
160	19936	599219
161	20062	599148
162	20194	599283
163	20328	599450
164	20476	600012
165	20601	599919
166	20715	599507
167	20841	599432
168	21004	600438
169	21153	600994
170	21260	600378
171	21358	599539
172	21496	599787
173	21605	599241
174	21720	598872
175	21836	598532
176	21948	598061
177	22053	597432
178	22164	596969
179	22265	596230
180	22371	595613
181	22453	594395
182	22565	593991
183	22660	593124
184	22734	591710
185	22857	591583
186	22955	590829
187	23075	590645
188	23204	590681
189	23328	590589
190	23423	589762
191	23531	589262
192	23654	589151
193	23771	588884
194	23908	589131
195	23959	587254
196	24059	586576
197	24169	586169
198	24286	585929
199	24414	585939
200	24521	585454
201	24638	585234
202	24743	584706
203	24847	584161
204	24948	583551
205	25061	583228
206	25163	582647
207	25272	582244
208	25385	581913
209	25486	581333
210	25603	581109
211	25724	580996
212	25822	580336
213	25917	579622
214	26023	579174
215	26057	577123
216	26149	576367
217	26263	576117
218	26383	575979
219	26470	575124
220	26555	574247
221	26658	573752
222	26789	573873
223	26888	573291
224	26953	572016
225	27020	570781
226	27101	569841
227	27230	569924
228	27334	569489
229	27453	569361
230	27561	569012
231	27685	568983
232	27776	568275
233	27876	567782
234	27972	567177
235	28081	566866
236	28177	566286
237	28268	565614
238	28372	565203
