iter	Logloss
347	0.1438740598
348	0.1438383998
349	0.1438206106
350	0.1437400232
351	0.1436483019
352	0.1436273001
353	0.1435873185
354	0.1435535613
355	0.1435226929
356	0.1434975298
357	0.1434465042
358	0.1434177364
359	0.1433550779
360	0.1433417758
361	0.1433000719
362	0.1432420856
363	0.1431875089
364	0.143129856
365	0.1431036015
366	0.1430446108
367	0.1430070506
368	0.1429662799
369	0.142900911
370	0.1428750797
371	0.1428332081
372	0.1427903344
373	0.1427364911
374	0.1426732719
375	0.142625311
376	0.1425742587
377	0.1425458238
378	0.1424924578
379	0.1424623858
380	0.1424218246
381	0.1423941131
382	0.1423350157
383	0.1423163335
384	0.1422620724
385	0.142182902
386	0.1421331376
387	0.1421202877
388	0.1420852751
389	0.1420410244
390	0.1420120392
391	0.1419548461
392	0.141924045
393	0.1418823533
394	0.1418436542
395	0.1417994394
396	0.141753885
397	0.1417042281
398	0.1416603878
399	0.1416486268
400	0.1415951265
401	0.1415392772
402	0.141504282
403	0.1414714216
404	0.1414219126
405	0.141374833
406	0.1413168342
407	0.1412845749
408	0.1411925772
409	0.1411799269
410	0.1411327096
411	0.1410679919
412	0.1410594328
413	0.1410453966
414	0.1410306194
415	0.1409877436
416	0.1409778815
417	0.1409325443
418	0.1409023084
419	0.1408888782
420	0.140859093
421	0.1408332984
422	0.1407955388
423	0.140758731
424	0.140732749
425	0.1406934277
426	0.1406775986
427	0.1406112251
428	0.1405716553
429	0.1405354177
430	0.1405083214
431	0.1404756654
432	0.1404580284
433	0.1403967227
434	0.1403635973
435	0.1403278037
436	0.1403004806
437	0.1402691818
438	0.1402456328
439	0.1402223209
440	0.1401554991
441	0.1401445879
442	0.1401019484
443	0.1400358918
444	0.1399726561
445	0.1399126317
446	0.1398879388
447	0.1398481804
448	0.1398150062
449	0.1397938837
450	0.1397671545
451	0.1397231635
452	0.1397078879
453	0.1396697898
454	0.1396158702
455	0.1395416918
456	0.1394822048
457	0.1394493977
458	0.1394164694
459	0.1393602003
460	0.1393277376
461	0.1393146026
462	0.1392786899
463	0.13923889
464	0.1392025695
465	0.1391476694
466	0.1391001076
467	0.1390726564
468	0.1390338124
469	0.1389879293
470	0.1389575477
471	0.1388883392
472	0.1388567903
473	0.1388189758
474	0.1387869337
475	0.1387503825
476	0.1386903963
477	0.1386848674
478	0.1386273033
479	0.1385782211
480	0.1385386274
481	0.1385033855
482	0.1384795016
483	0.1384562377
484	0.1384238969
485	0.1383947489
486	0.1383629861
487	0.1383325293
488	0.1383282725
489	0.1382838868
490	0.138254606
491	0.1382107245
492	0.1381930261
493	0.1381398602
494	0.1381384448
495	0.138098176
496	0.1380760928
497	0.1380390036
498	0.1379963601
499	0.1379457479
